,atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
0,2017-08-22,2017-08-25,0,5.66,5.66,5.67,5.64,5.69,19489088,110466618,5.66812659,5.66,5.66,5.67,5.64,5.69,19489088,5.668130000000001,0.00533
1,2017-08-21,2017-08-24,0,5.63,5.63,5.64,5.62,5.65,13129476,73965570,5.6335508,5.63,5.63,5.64,5.62,5.65,13129476,5.63355,0.0
2,2017-08-18,2017-08-22,0,5.63,5.63,5.64,5.62,5.66,22434491,126473489,5.63745748,5.63,5.63,5.64,5.62,5.66,22434491,5.63746,-0.01228
3,2017-08-17,2017-08-21,0,5.7,5.69,5.7,5.67,5.75,18536201,105606216,5.69729558,5.7,5.69,5.7,5.67,5.75,18536201,5.6973,-0.00524
4,2017-08-16,2017-08-18,0,5.73,5.73,5.74,5.69,5.76,16169546,92722908,5.73441629,5.73,5.73,5.74,5.69,5.76,16169546,5.73442,0.0035
5,2017-08-15,2017-08-17,0,5.71,5.71,5.72,5.65,5.77,29764764,170357915,5.72347609,5.71,5.71,5.72,5.65,5.77,29764764,5.72348,0.00528
6,2017-08-14,2017-08-16,0,5.68,5.68,5.69,5.65,5.72,15269748,86810396,5.68512303,5.68,5.68,5.69,5.65,5.72,15269748,5.6851199999999995,0.0053100000000000005
7,2017-08-11,2017-08-15,0,5.65,5.64,5.65,5.63,5.73,49528545,280371311,5.66080249,5.65,5.64,5.65,5.63,5.73,49528545,5.6608,-0.01739
8,2017-08-10,2017-08-14,0,5.75,5.75,5.76,5.73,5.84,31201218,179600020,5.75618618,5.75,5.75,5.76,5.73,5.84,31201218,5.75619,-0.012029999999999999
9,2017-08-09,2017-08-11,0,5.82,5.81,5.82,5.78,5.87,24123157,140236959,5.81337505,5.82,5.81,5.82,5.78,5.87,24123157,5.81338,-0.0102
10,2017-08-08,2017-08-10,0,5.88,5.88,5.89,5.81,5.91,21902441,128534389,5.86849607,5.88,5.88,5.89,5.81,5.91,21902441,5.8685,-0.00339
11,2017-08-07,2017-08-09,0,5.9,5.89,5.9,5.88,5.94,13102927,77350647,5.90331054,5.9,5.89,5.9,5.88,5.94,13102927,5.90331,0.0
12,2017-08-04,2017-08-08,0,5.9,5.9,5.91,5.89,5.93,17180097,101351192,5.89933759,5.9,5.9,5.91,5.89,5.93,17180097,5.8993400000000005,0.0
13,2017-08-03,2017-08-07,0,5.9,5.89,5.9,5.87,5.93,28382131,167605364,5.90531289,5.9,5.89,5.9,5.87,5.93,28382131,5.90531,-0.0033799999999999998
14,2017-08-02,2017-08-04,0,5.92,5.92,5.93,5.89,5.96,47952131,284419067,5.93131235,5.92,5.92,5.93,5.89,5.96,47952131,5.93131,0.00852
15,2017-08-01,2017-08-03,0,5.87,5.87,5.88,5.78,5.9,54428904,319029006,5.86138949,5.87,5.87,5.88,5.78,5.9,54428904,5.86139,0.013819999999999999
