,atDate,settleDate,susp,closing,bid,ask,low,high,vol,turn,VWAP,adjClose,adjBid,adjAsk,adjLow,adjHigh,adjVol,adjVWAP,totalRet
0,2017-08-22,2017-08-25,0,62.7,62.65,62.7,62.6,63.2,2632075,165402824,62.84122755,62.7,62.65,62.7,62.6,63.2,2632075,62.84123,0.00481
1,2017-08-21,2017-08-24,0,62.4,62.35,62.4,62.1,62.9,1613855,100945026,62.54900595,62.4,62.35,62.4,62.1,62.9,1613855,62.549009999999996,0.00161
2,2017-08-18,2017-08-22,0,62.3,62.3,62.35,62.15,62.95,1595105,99676754,62.48914899,62.3,62.3,62.35,62.15,62.95,1595105,62.48915,-0.0032
3,2017-08-17,2017-08-21,0,62.5,62.5,62.55,62.4,63.35,4191646,263878380,62.95340303,62.5,62.5,62.55,62.4,63.35,4191646,62.9534,-0.0023899999999999998
4,2017-08-16,2017-08-18,0,62.65,62.55,62.65,61.4,62.65,3606800,224580253,62.26579045,62.65,62.55,62.65,61.4,62.65,3606800,62.26579,0.02036
5,2017-08-15,2017-08-17,0,61.4,61.25,61.4,60.5,61.8,1728471,105987245,61.31849768,61.4,61.25,61.4,60.5,61.8,1728471,61.3185,0.00656
6,2017-08-14,2017-08-16,0,61.0,61.0,61.15,60.85,61.65,2452843,150259871,61.25947360000001,61.0,61.0,61.15,60.85,61.65,2452843,61.25946999999999,-0.00894
7,2017-08-11,2017-08-15,0,61.55,61.55,61.6,61.2,62.15,5614876,346940164,61.78946142,61.55,61.55,61.6,61.2,62.15,5614876,61.78946,0.00572
8,2017-08-10,2017-08-14,0,61.2,61.15,61.2,60.35,61.5,2438662,148840962,61.03386283,61.2,61.15,61.2,60.35,61.5,2438662,61.03386,0.00824
9,2017-08-09,2017-08-11,0,60.7,60.7,60.75,60.2,61.15,2544731,154474777,60.70377458,60.7,60.7,60.75,60.2,61.15,2544731,60.70377,0.00831
10,2017-08-08,2017-08-10,0,60.2,60.2,60.25,60.0,60.85,1948867,117434752,60.25796116,60.2,60.2,60.25,60.0,60.85,1948867,60.25796,-0.00905
11,2017-08-07,2017-08-09,0,60.75,60.75,60.8,60.55,61.3,1846286,112458787,60.91081609,60.75,60.75,60.8,60.55,61.3,1846286,60.910819999999994,-0.00164
12,2017-08-04,2017-08-08,0,60.85,60.85,60.95,60.5,61.5,2182114,133002509,60.95121932,60.85,60.85,60.95,60.5,61.5,2182114,60.95121999999999,0.00829
13,2017-08-03,2017-08-07,0,60.35,60.35,60.4,60.2,61.8,2047986,124596687,60.83864196,60.35,60.35,60.4,60.2,61.8,2047986,60.838640000000005,-0.00495
14,2017-08-02,2017-08-04,0,60.65,60.6,60.65,60.25,61.2,2208626,134069131,60.70250509,60.65,60.6,60.65,60.25,61.2,2208626,60.70251,0.00999
15,2017-08-01,2017-08-03,0,60.05,60.05,60.1,59.55,60.3,5291933,317673283,60.02972506,60.05,60.05,60.1,59.55,60.3,5291933,60.02973000000001,0.00755
16,2017-07-31,2017-08-02,0,59.6,59.6,59.65,59.5,60.75,5859848,350106361,59.74666254,59.6,59.6,59.65,59.5,60.75,5859848,59.74666,-0.00914
17,2017-07-28,2017-08-01,0,60.15,60.15,60.2,59.85,60.5,2909388,175319207,60.25982337,60.15,60.15,60.2,59.85,60.5,2909388,60.25982,-0.00414
18,2017-07-27,2017-07-31,0,60.4,60.4,60.45,60.35,61.25,2070462,125684005,60.70336234,60.4,60.4,60.45,60.35,61.25,2070462,60.703359999999996,-0.018680000000000002
19,2017-07-26,2017-07-28,0,61.55,61.55,61.6,60.45,61.8,3202150,196842234,61.47189669,61.55,61.55,61.6,60.45,61.8,3202150,61.4719,0.00902
20,2017-07-25,2017-07-27,0,61.0,61.0,61.05,60.5,61.6,2396497,146206720,61.00851368,61.0,61.0,61.05,60.5,61.6,2396497,61.00851,-0.00245
21,2017-07-24,2017-07-26,0,61.15,61.15,61.2,60.6,61.5,4271917,261062343,61.11128634,61.15,61.15,61.2,60.6,61.5,4271917,61.111290000000004,0.00824
22,2017-07-21,2017-07-25,0,60.65,60.65,60.75,59.3,60.9,6544828,394625059,60.29571121,60.65,60.65,60.75,59.3,60.9,6544828,60.29571,0.02797
23,2017-07-20,2017-07-24,0,59.0,59.0,59.05,58.6,59.85,2485253,146711211,59.03270653,59.0,59.0,59.05,58.6,59.85,2485253,59.032709999999994,-0.01255
24,2017-07-19,2017-07-21,0,59.75,59.55,59.75,58.7,59.8,3130622,185530102,59.263016099999994,59.75,59.55,59.75,58.7,59.8,3130622,59.26302,0.012709999999999999
25,2017-07-18,2017-07-20,0,59.0,59.0,59.05,58.45,59.3,2370587,139711909,58.93557545,59.0,59.0,59.05,58.45,59.3,2370587,58.93558,0.00855
26,2017-07-17,2017-07-19,0,58.5,58.45,58.5,58.25,59.5,3265764,190895232,58.45346816,58.5,58.45,58.5,58.25,59.5,3265764,58.453469999999996,-0.009309999999999999
27,2017-07-14,2017-07-18,0,59.05,59.05,59.15,58.75,59.95,2002748,118427516,59.13250993,59.05,59.05,59.15,58.75,59.95,2002748,59.132509999999996,-0.00923
28,2017-07-13,2017-07-17,0,59.6,59.6,59.65,59.3,60.0,4058232,242042261,59.64229275,59.6,59.6,59.65,59.3,60.0,4058232,59.64229,0.00506
29,2017-07-12,2017-07-14,0,59.3,59.3,59.35,59.2,59.8,1865265,110715882,59.35665013,59.3,59.3,59.35,59.2,59.8,1865265,59.35665,0.004229999999999999
30,2017-07-11,2017-07-13,0,59.05,58.9,59.05,58.45,59.25,1989846,117165338,58.88161094,59.05,58.9,59.05,58.45,59.25,1989846,58.881609999999995,-0.00253
31,2017-07-10,2017-07-12,0,59.2,59.2,59.35,58.65,59.5,2355143,139425261,59.20033773,59.2,59.2,59.35,58.65,59.5,2355143,59.200340000000004,0.00424
32,2017-07-07,2017-07-11,0,58.95,58.9,58.95,58.65,59.8,2650781,156269721,58.95233178,58.95,58.9,58.95,58.65,59.8,2650781,58.95233,-0.014209999999999999
33,2017-07-06,2017-07-10,0,59.8,59.75,59.8,58.65,60.0,5223219,310450038,59.43653483,59.8,59.75,59.8,58.65,60.0,5223219,59.436530000000005,0.02135
34,2017-07-05,2017-07-07,0,58.55,58.55,58.6,58.05,58.85,2910264,170068092,58.43734177,58.55,58.55,58.6,58.05,58.85,2910264,58.43734,0.0121
35,2017-07-04,2017-07-06,0,57.85,57.85,57.95,57.35,58.6,3780930,219132237,57.95723195,57.85,57.85,57.95,57.35,58.6,3780930,57.95723,-0.00601
36,2017-07-03,2017-07-05,0,58.2,58.2,58.3,57.2,58.75,2681917,155594647,58.0162052,58.2,58.2,58.3,57.2,58.75,2681917,58.01621,0.01042
37,2017-06-30,2017-07-04,0,57.6,57.6,57.65,57.5,58.2,2900007,167231800,57.66599874,57.6,57.6,57.65,57.5,58.2,2900007,57.666000000000004,-0.0137
38,2017-06-29,2017-07-03,0,58.4,58.3,58.4,58.05,59.25,2495062,145830054,58.44746704,58.4,58.3,58.4,58.05,59.25,2495062,58.447469999999996,-0.00086
39,2017-06-28,2017-06-30,0,58.45,58.4,58.45,58.15,59.2,4002508,234222629,58.51896586,58.45,58.4,58.45,58.15,59.2,4002508,58.518969999999996,-0.011000000000000001
40,2017-06-27,2017-06-29,0,59.1,59.05,59.15,58.55,59.55,2693137,158971158,59.02824773,59.1,59.05,59.15,58.55,59.55,2693137,59.02825,-0.00672
